convergent_solution_L2_difference,error_matrix_L2,percentage_of_known_labels,model_used,perturbed_standard_deviation,data_size,knn,α,β
0.0,0.0,15.0,LS,0.0,590,15,0.1,0.9
0.0,0.0,20.0,LS,0.0,590,15,0.1,0.9
0.0,0.0,25.0,LS,0.0,590,15,0.1,0.9
0.0,0.0,30.0,LS,0.0,590,15,0.1,0.9
1.1815221693265294,3.409467065895485,15.0,LS,0.05,590,15,0.1,0.9
1.367102784884675,3.428097444783963,20.0,LS,0.05,590,15,0.1,0.9
1.5371352525546431,3.4167958325663554,25.0,LS,0.05,590,15,0.1,0.9
1.6986413818574295,3.4573162840345395,30.0,LS,0.05,590,15,0.1,0.9
2.4049298483733965,6.88999136970048,15.0,LS,0.1,590,15,0.1,0.9
2.7450324101852024,6.854379913621713,20.0,LS,0.1,590,15,0.1,0.9
3.0802770334256317,6.84037883658136,25.0,LS,0.1,590,15,0.1,0.9
3.4091022019650437,6.816681967765049,30.0,LS,0.1,590,15,0.1,0.9
3.6033085938859037,10.212333867325171,15.0,LS,0.15,590,15,0.1,0.9
4.121429848270279,10.276298085476142,20.0,LS,0.15,590,15,0.1,0.9
4.7073231195302485,10.32665969205866,25.0,LS,0.15,590,15,0.1,0.9
5.04961359846204,10.318613543130235,30.0,LS,0.15,590,15,0.1,0.9
4.8098367985555,13.784229044821178,15.0,LS,0.2,590,15,0.1,0.9
5.556305888132046,13.804997053398804,20.0,LS,0.2,590,15,0.1,0.9
6.127508392168848,13.701142270094493,25.0,LS,0.2,590,15,0.1,0.9
6.819730820516355,13.754167269681579,30.0,LS,0.2,590,15,0.1,0.9
5.89052388512866,17.232949457128136,15.0,LS,0.25,590,15,0.1,0.9
6.797456222252885,17.233007994877177,20.0,LS,0.25,590,15,0.1,0.9
7.714519773958825,17.07960510479409,25.0,LS,0.25,590,15,0.1,0.9
8.580451451095536,17.33830597737688,30.0,LS,0.25,590,15,0.1,0.9
7.000670854773266,20.72061416297502,15.0,LS,0.3,590,15,0.1,0.9
8.344206491084332,20.535335491883124,20.0,LS,0.3,590,15,0.1,0.9
9.292501279494417,20.650532527617752,25.0,LS,0.3,590,15,0.1,0.9
10.238087843050108,20.680280311748138,30.0,LS,0.3,590,15,0.1,0.9
8.168220923992035,24.05570464827753,15.0,LS,0.35,590,15,0.1,0.9
9.574120820321212,24.186314940421966,20.0,LS,0.35,590,15,0.1,0.9
10.882314140027814,24.069548476162122,25.0,LS,0.35,590,15,0.1,0.9
11.932833735524714,24.051988145476262,30.0,LS,0.35,590,15,0.1,0.9
9.525054199436461,27.606859728026343,15.0,LS,0.4,590,15,0.1,0.9
10.896828745293572,27.2948586242768,20.0,LS,0.4,590,15,0.1,0.9
12.353680701778675,27.47692657686408,25.0,LS,0.4,590,15,0.1,0.9
13.460341028246313,27.29641227254434,30.0,LS,0.4,590,15,0.1,0.9
10.767720850552843,31.01403246615296,15.0,LS,0.45,590,15,0.1,0.9
12.646113006005509,31.217297889312114,20.0,LS,0.45,590,15,0.1,0.9
13.991513790330256,30.79196816710865,25.0,LS,0.45,590,15,0.1,0.9
15.271684011448007,30.876926198461284,30.0,LS,0.45,590,15,0.1,0.9
11.930781040195864,34.312151872018596,15.0,LS,0.5,590,15,0.1,0.9
13.847761788110677,34.21548430227534,20.0,LS,0.5,590,15,0.1,0.9
15.425049846466994,34.359991506255575,25.0,LS,0.5,590,15,0.1,0.9
17.029866323320608,34.32874451059552,30.0,LS,0.5,590,15,0.1,0.9
13.174770186274074,37.6152342962982,15.0,LS,0.55,590,15,0.1,0.9
15.125962963324682,37.88252069379074,20.0,LS,0.55,590,15,0.1,0.9
16.94543160918409,37.734454833503136,25.0,LS,0.55,590,15,0.1,0.9
18.35862095043128,37.345122604099934,30.0,LS,0.55,590,15,0.1,0.9
14.351613597968775,41.07392200386565,15.0,LS,0.6,590,15,0.1,0.9
16.45324813174777,41.213895635077165,20.0,LS,0.6,590,15,0.1,0.9
18.516873300610637,41.00638371289617,25.0,LS,0.6,590,15,0.1,0.9
20.592943641377087,41.543040684763255,30.0,LS,0.6,590,15,0.1,0.9
15.531751595092453,44.701909315979684,15.0,LS,0.65,590,15,0.1,0.9
17.908120805077655,44.66383403889934,20.0,LS,0.65,590,15,0.1,0.9
19.90416951631649,44.63577849655995,25.0,LS,0.65,590,15,0.1,0.9
22.217416940089883,44.55649273692726,30.0,LS,0.65,590,15,0.1,0.9
16.709931613747763,48.2791350560393,15.0,LS,0.7,590,15,0.1,0.9
19.31950713528809,48.31070022305531,20.0,LS,0.7,590,15,0.1,0.9
21.831369930784057,47.76900340672448,25.0,LS,0.7,590,15,0.1,0.9
23.831287542120805,48.27935660779449,30.0,LS,0.7,590,15,0.1,0.9
17.40706127535058,51.55915222540892,15.0,LS,0.75,590,15,0.1,0.9
20.621032750190384,51.503595554068,20.0,LS,0.75,590,15,0.1,0.9
23.44793640189896,52.062840085110636,25.0,LS,0.75,590,15,0.1,0.9
25.248155915459527,51.525261370287694,30.0,LS,0.75,590,15,0.1,0.9
19.293592168540346,55.18516081232731,15.0,LS,0.8,590,15,0.1,0.9
21.722169265619826,54.69540509278372,20.0,LS,0.8,590,15,0.1,0.9
24.978238925480884,54.746533034031145,25.0,LS,0.8,590,15,0.1,0.9
26.932150095900898,54.528075619186005,30.0,LS,0.8,590,15,0.1,0.9
20.516195036329414,58.78240876895429,15.0,LS,0.85,590,15,0.1,0.9
23.635080649823784,59.00441866066029,20.0,LS,0.85,590,15,0.1,0.9
26.179516897838642,58.45641618614947,25.0,LS,0.85,590,15,0.1,0.9
28.75462958893588,58.37366642020661,30.0,LS,0.85,590,15,0.1,0.9
21.717688617390344,61.13007872869849,15.0,LS,0.9,590,15,0.1,0.9
24.10027808223003,61.06834711423196,20.0,LS,0.9,590,15,0.1,0.9
27.599013457230615,61.74552888939961,25.0,LS,0.9,590,15,0.1,0.9
30.288184075260197,61.517360275422426,30.0,LS,0.9,590,15,0.1,0.9
22.161263781478365,64.77379524017063,15.0,LS,0.95,590,15,0.1,0.9
26.00414840822295,65.29261260819212,20.0,LS,0.95,590,15,0.1,0.9
29.74509110703488,65.94199600316333,25.0,LS,0.95,590,15,0.1,0.9
32.33661658815306,65.21715263957769,30.0,LS,0.95,590,15,0.1,0.9
23.586592959481337,68.65581121471192,15.0,LS,1.0,590,15,0.1,0.9
27.134447678583086,68.52813513597283,20.0,LS,1.0,590,15,0.1,0.9
31.49781238391692,69.64384283633123,25.0,LS,1.0,590,15,0.1,0.9
34.03416412622496,69.10478140914437,30.0,LS,1.0,590,15,0.1,0.9
